date;season;temp;feeltemp;humidity;wind_speed;weather;is_holiday;is_weekend;is_restday;total
04/01/2015;winter;2.5;0.6;94.3;7.5;cloudy;0;1;1;9234
05/01/2015;winter;8;6.7;80.3;8.9;cloudy;0;0;0;20372
06/01/2015;winter;7.9;5.3;78.9;16;clear;0;0;0;20613
07/01/2015;winter;7.5;4.5;78.1;19.8;clear;0;0;0;21064
08/01/2015;winter;9.8;7.8;79.3;20.5;rain;0;0;0;15601
09/01/2015;winter;12.7;12.3;74.9;32.9;cloudy;0;0;0;22104
10/01/2015;winter;10.5;8.7;66.1;34.3;cloudy;0;1;1;14709
11/01/2015;winter;6.6;2.5;67.6;26.6;clear;0;1;1;14575
12/01/2015;winter;11.1;9.8;76.6;28.2;rain;0;0;0;17199
13/01/2015;winter;8.6;6.1;75.8;21.2;rain;0;0;0;24697
14/01/2015;winter;6.5;2.5;67.1;25.8;clear;0;0;0;23565
15/01/2015;winter;8.8;5.6;66.5;31.2;clear;0;0;0;22968
16/01/2015;winter;5.8;2.5;66.2;17.5;clear;0;0;0;22663
17/01/2015;winter;3.8;0.6;75.1;13.6;clear;0;1;1;15268
18/01/2015;winter;3.4;1.9;84.3;7;rain;0;1;1;13199
19/01/2015;winter;2.4;0.8;80;6.2;cloudy;0;0;0;23034
20/01/2015;winter;2.1;-0.2;82;9.2;clear;0;0;0;23247
21/01/2015;winter;3;-0.4;84.3;14.7;cloudy;0;0;0;22782
22/01/2015;winter;2.6;1;74.5;6.7;cloudy;0;0;0;23278
23/01/2015;winter;2.7;0;79.4;12.4;clear;0;0;0;21892
24/01/2015;winter;5.7;2.3;72.7;18.1;clear;0;1;1;17539
25/01/2015;winter;5.5;2.3;77.4;16.2;cloudy;0;1;1;15094
26/01/2015;winter;8.6;5.7;75.2;19;cloudy;0;0;0;22710
27/01/2015;winter;7;4.1;72.4;15.3;clear;0;0;0;25000
28/01/2015;winter;7;2.9;71;29.1;clear;0;0;0;21536
29/01/2015;winter;3.8;-1.3;73.5;26.6;clear;0;0;0;21275
30/01/2015;winter;4;0.2;77.1;17.5;cloudy;0;0;0;21171
31/01/2015;winter;3.4;-0.9;77.9;20.1;rain;0;1;1;10250
01/02/2015;winter;3.8;-0.9;67;24.8;cloudy;0;1;1;11305
02/02/2015;winter;1.3;-2.4;64.9;12.6;clear;0;0;0;21640
03/02/2015;winter;2.2;-1;85.5;11.8;cloudy;0;0;0;19869
04/02/2015;winter;2.9;-0.5;80.7;14.1;cloudy;0;0;0;21850
05/02/2015;winter;2.9;-0.9;78.1;16;clear;0;0;0;21200
06/02/2015;winter;2.7;-1.7;69.9;19.3;clear;0;0;0;20955
07/02/2015;winter;3.8;1;83;11.3;cloudy;0;1;1;13149
08/02/2015;winter;5.4;3.1;76.2;10.3;clear;0;1;1;15778
09/02/2015;winter;5.7;3.9;81.4;9.2;clear;0;0;0;23858
10/02/2015;winter;5.5;4.4;79.6;6.5;cloudy;0;0;0;23559
11/02/2015;winter;5;3.2;77.4;7.6;cloudy;0;0;0;23680
12/02/2015;winter;4;2.4;73.1;7.2;cloudy;0;0;0;23227
13/02/2015;winter;7;4;84.5;17.8;rain;0;0;0;17699
14/02/2015;winter;7.3;5.1;88.7;12.4;cloudy;0;1;1;14423
15/02/2015;winter;6.7;5.3;86.2;7.3;cloudy;0;1;1;16952
16/02/2015;winter;6;4.1;89.7;9.8;rain;0;0;0;16381
17/02/2015;winter;5.9;3.5;68.7;12.2;clear;0;0;0;25064
18/02/2015;winter;6.4;3.7;71.3;15.2;clear;0;0;0;25132
19/02/2015;winter;7.3;3.9;81.5;21.1;rain;0;0;0;16898
20/02/2015;winter;6.6;4.8;81.3;9.4;clear;0;0;0;20715
21/02/2015;winter;4.8;1.6;76.3;16.2;clear;0;1;1;16198
22/02/2015;winter;5.1;1.4;80.9;21.3;clear;0;1;1;9086
